Pokedex Number,Name,Type 1,Type 2,Abilities,Classfication,Height m,Weight kg,Male %,Generation,HP,Attack,Defense,Special Attack,Special Defense,Speed
1,Bulbasaur,grass,poison,"['Overgrow', 'Chlorophyll']",Seed Pokémon,0.7,6.9,88.1,1,45,49,49,65,65,45
2,Ivysaur,grass,poison,"['Overgrow', 'Chlorophyll']",Seed Pokémon,1,13,88.1,1,60,62,63,80,80,60
3,Venusaur,grass,poison,"['Overgrow', 'Chlorophyll']",Seed Pokémon,2,100,88.1,1,80,100,123,122,120,80
4,Charmander,fire,,"['Blaze', 'Solar Power']",Lizard Pokémon,0.6,8.5,88.1,1,39,52,43,60,50,65
5,Charmeleon,fire,,"['Blaze', 'Solar Power']",Flame Pokémon,1.1,19,88.1,1,58,64,58,80,65,80
6,Charizard,fire,flying,"['Blaze', 'Solar Power']",Flame Pokémon,1.7,90.5,88.1,1,78,104,78,159,115,100
7,Squirtle,water,,"['Torrent', 'Rain Dish']",Tiny Turtle Pokémon,0.5,9,88.1,1,44,48,65,50,64,43
8,Wartortle,water,,"['Torrent', 'Rain Dish']",Turtle Pokémon,1,22.5,88.1,1,59,63,80,65,80,58
9,Blastoise,water,,"['Torrent', 'Rain Dish']",Shellfish Pokémon,1.6,85.5,88.1,1,79,103,120,135,115,78
10,Caterpie,bug,,"['Shield Dust', 'Run Away']",Worm Pokémon,0.3,2.9,50,1,45,30,35,20,20,45
11,Metapod,bug,,['Shed Skin'],Cocoon Pokémon,0.7,9.9,50,1,50,20,55,25,25,30
12,Butterfree,bug,flying,"['Compoundeyes', 'Tinted Lens']",Butterfly Pokémon,1.1,32,50,1,60,45,50,90,80,70
13,Weedle,bug,poison,"['Shield Dust', 'Run Away']",Hairy Pokémon,0.3,3.2,50,1,40,35,30,20,20,50
14,Kakuna,bug,poison,['Shed Skin'],Cocoon Pokémon,0.6,10,50,1,45,25,50,25,25,35
15,Beedrill,bug,poison,"['Swarm', 'Sniper']",Poison Bee Pokémon,1,29.5,50,1,65,150,40,15,80,145
16,Pidgey,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Tiny Bird Pokémon,0.3,1.8,50,1,40,45,40,35,35,56
17,Pidgeotto,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Bird Pokémon,1.1,30,50,1,63,60,55,50,50,71
18,Pidgeot,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",Bird Pokémon,1.5,39.5,50,1,83,80,80,135,80,121
19,Rattata,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Mouse Pokémon,,,50,1,30,56,35,25,35,72
20,Raticate,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",Mouse Pokémon,,,50,1,75,71,70,40,80,77
21,Spearow,normal,flying,"['Keen Eye', 'Sniper']",Tiny Bird Pokémon,0.3,2,50,1,40,60,30,31,31,70
22,Fearow,normal,flying,"['Keen Eye', 'Sniper']",Beak Pokémon,1.2,38,50,1,65,90,65,61,61,100
23,Ekans,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",Snake Pokémon,2,6.9,50,1,35,60,44,40,54,55
24,Arbok,poison,,"['Intimidate', 'Shed Skin', 'Unnerve']",Cobra Pokémon,3.5,65,50,1,60,95,69,65,79,80
25,Pikachu,electric,,"['Static', 'Lightningrod']",Mouse Pokémon,0.4,6,50,1,35,55,40,50,50,90
26,Raichu,electric,electric,"['Static', 'Lightningrod', 'Surge Surfer']",Mouse Pokémon,,,50,1,60,85,50,95,85,110
27,Sandshrew,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Mouse Pokémon,,,50,1,50,75,90,10,35,40
28,Sandslash,ground,ice,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",Mouse Pokémon,,,50,1,75,100,120,25,65,65
29,Nidoran♀,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,0.4,7,0,1,55,47,52,40,40,41
30,Nidorina,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,0.8,20,0,1,70,62,67,55,55,56
31,Nidoqueen,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",Drill Pokémon,1.3,60,0,1,90,92,87,75,85,76
32,Nidoran♂,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,0.5,9,100,1,46,57,40,40,40,50
33,Nidorino,poison,,"['Poison Point', 'Rivalry', 'Hustle']",Poison Pin Pokémon,0.9,19.5,100,1,61,72,57,55,55,65
34,Nidoking,poison,ground,"['Poison Point', 'Rivalry', 'Sheer Force']",Drill Pokémon,1.4,62,100,1,81,102,77,85,75,85
35,Clefairy,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",Fairy Pokémon,0.6,7.5,24.6,1,70,45,48,60,65,35
36,Clefable,fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",Fairy Pokémon,1.3,40,24.6,1,95,70,73,95,90,60
37,Vulpix,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fox Pokémon,,,24.6,1,38,41,40,50,65,65
38,Ninetales,fire,ice,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",Fox Pokémon,,,24.6,1,73,67,75,81,100,109
39,Jigglypuff,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",Balloon Pokémon,0.5,5.5,24.6,1,115,45,20,45,25,20
40,Wigglytuff,normal,fairy,"['Cute Charm', 'Competitive', 'Frisk']",Balloon Pokémon,1,12,24.6,1,140,70,45,85,50,45
41,Zubat,poison,flying,"['Inner Focus', 'Infiltrator']",Bat Pokémon,0.8,7.5,50,1,40,45,35,30,40,55
42,Golbat,poison,flying,"['Inner Focus', 'Infiltrator']",Bat Pokémon,1.6,55,50,1,75,80,70,65,75,90
43,Oddish,grass,poison,"['Chlorophyll', 'Run Away']",Weed Pokémon,0.5,5.4,50,1,45,50,55,75,65,30
44,Gloom,grass,poison,"['Chlorophyll', 'Stench']",Weed Pokémon,0.8,8.6,50,1,60,65,70,85,75,40
45,Vileplume,grass,poison,"['Chlorophyll', 'Effect Spore']",Flower Pokémon,1.2,18.6,50,1,75,80,85,110,90,50
46,Paras,bug,grass,"['Effect Spore', 'Dry Skin', 'Damp']",Mushroom Pokémon,0.3,5.4,50,1,35,70,55,45,55,25
