abilities,attack,classfication,defense,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
"['Overgrow', 'Chlorophyll']",49,Seed Pokémon,49,0.7,45,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9,1,0
"['Overgrow', 'Chlorophyll']",62,Seed Pokémon,63,1.0,60,Ivysaur,88.1,2,80,80,60,grass,poison,13.0,1,0
"['Overgrow', 'Chlorophyll']",100,Seed Pokémon,123,2.0,80,Venusaur,88.1,3,122,120,80,grass,poison,100.0,1,0
"['Blaze', 'Solar Power']",52,Lizard Pokémon,43,0.6,39,Charmander,88.1,4,60,50,65,fire,,8.5,1,0
"['Blaze', 'Solar Power']",64,Flame Pokémon,58,1.1,58,Charmeleon,88.1,5,80,65,80,fire,,19.0,1,0
"['Blaze', 'Solar Power']",104,Flame Pokémon,78,1.7,78,Charizard,88.1,6,159,115,100,fire,flying,90.5,1,0
"['Torrent', 'Rain Dish']",48,Tiny Turtle Pokémon,65,0.5,44,Squirtle,88.1,7,50,64,43,water,,9.0,1,0
"['Torrent', 'Rain Dish']",63,Turtle Pokémon,80,1.0,59,Wartortle,88.1,8,65,80,58,water,,22.5,1,0
"['Torrent', 'Rain Dish']",103,Shellfish Pokémon,120,1.6,79,Blastoise,88.1,9,135,115,78,water,,85.5,1,0
"['Shield Dust', 'Run Away']",30,Worm Pokémon,35,0.3,45,Caterpie,50.0,10,20,20,45,bug,,2.9,1,0
['Shed Skin'],20,Cocoon Pokémon,55,0.7,50,Metapod,50.0,11,25,25,30,bug,,9.9,1,0
"['Compoundeyes', 'Tinted Lens']",45,Butterfly Pokémon,50,1.1,60,Butterfree,50.0,12,90,80,70,bug,flying,32.0,1,0
"['Shield Dust', 'Run Away']",35,Hairy Pokémon,30,0.3,40,Weedle,50.0,13,20,20,50,bug,poison,3.2,1,0
['Shed Skin'],25,Cocoon Pokémon,50,0.6,45,Kakuna,50.0,14,25,25,35,bug,poison,10.0,1,0
"['Swarm', 'Sniper']",150,Poison Bee Pokémon,40,1.0,65,Beedrill,50.0,15,15,80,145,bug,poison,29.5,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",45,Tiny Bird Pokémon,40,0.3,40,Pidgey,50.0,16,35,35,56,normal,flying,1.8,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",60,Bird Pokémon,55,1.1,63,Pidgeotto,50.0,17,50,50,71,normal,flying,30.0,1,0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']",80,Bird Pokémon,80,1.5,83,Pidgeot,50.0,18,135,80,121,normal,flying,39.5,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",56,Mouse Pokémon,35,,30,Rattata,50.0,19,25,35,72,normal,dark,,1,0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",71,Mouse Pokémon,70,,75,Raticate,50.0,20,40,80,77,normal,dark,,1,0
"['Keen Eye', 'Sniper']",60,Tiny Bird Pokémon,30,0.3,40,Spearow,50.0,21,31,31,70,normal,flying,2.0,1,0
"['Keen Eye', 'Sniper']",90,Beak Pokémon,65,1.2,65,Fearow,50.0,22,61,61,100,normal,flying,38.0,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",60,Snake Pokémon,44,2.0,35,Ekans,50.0,23,40,54,55,poison,,6.9,1,0
"['Intimidate', 'Shed Skin', 'Unnerve']",95,Cobra Pokémon,69,3.5,60,Arbok,50.0,24,65,79,80,poison,,65.0,1,0
"['Static', 'Lightningrod']",55,Mouse Pokémon,40,0.4,35,Pikachu,50.0,25,50,50,90,electric,,6.0,1,0
"['Static', 'Lightningrod', 'Surge Surfer']",85,Mouse Pokémon,50,,60,Raichu,50.0,26,95,85,110,electric,electric,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",75,Mouse Pokémon,90,,50,Sandshrew,50.0,27,10,35,40,ground,ice,,1,0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,Mouse Pokémon,120,,75,Sandslash,50.0,28,25,65,65,ground,ice,,1,0
"['Poison Point', 'Rivalry', 'Hustle']",47,Poison Pin Pokémon,52,0.4,55,Nidoran♀,0.0,29,40,40,41,poison,,7.0,1,0
"['Poison Point', 'Rivalry', 'Hustle']",62,Poison Pin Pokémon,67,0.8,70,Nidorina,0.0,30,55,55,56,poison,,20.0,1,0
"['Poison Point', 'Rivalry', 'Sheer Force']",92,Drill Pokémon,87,1.3,90,Nidoqueen,0.0,31,75,85,76,poison,ground,60.0,1,0
